PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
1,2,Passenger 1,female,60.2,0,1,T10000,9.19,C20,Q,1
2,3,Passenger 2,female,21.5,0,0,T10001,36.34,,S,0
3,3,Passenger 3,male,40.4,0,0,T10002,18.74,,Q,1
4,3,Passenger 4,female,34.2,0,0,T10003,36.73,,S,0
5,1,Passenger 5,male,48.2,3,1,T10004,63.7,,S,0
6,1,Passenger 6,male,,1,0,T10005,87.54,,S,1
7,1,Passenger 7,female,30.4,0,1,T10006,48.71,C30,S,1
8,3,Passenger 8,male,19.5,0,0,T10007,13.97,,C,0
9,3,Passenger 9,male,36.4,0,1,T10008,40.03,C66,S,0
10,3,Passenger 10,male,20.5,1,0,T10009,93.66,,S,1
11,1,Passenger 11,male,58.2,0,0,T10010,107.16,,S,0
12,3,Passenger 12,male,31.9,1,0,T10011,25.65,,S,1
13,3,Passenger 13,male,24.9,0,1,T10012,142.07,,S,1
14,1,Passenger 14,male,32.6,0,0,T10013,227.95,,C,0
15,1,Passenger 15,female,11.1,2,0,T10014,30.14,C8,S,0
16,1,Passenger 16,female,16.4,0,0,T10015,12.62,C55,S,1
17,2,Passenger 17,male,46.8,0,1,T10016,79.87,,S,0
18,3,Passenger 18,male,,1,0,T10017,92.9,C40,S,0
19,2,Passenger 19,male,15.3,0,0,T10018,194.58,,S,1
20,2,Passenger 20,male,37.5,0,1,T10019,126.82,C18,S,0
21,3,Passenger 21,male,46.6,0,0,T10020,50.88,C23,Q,0
22,1,Passenger 22,male,40.1,0,0,T10021,76.96,,S,0
23,2,Passenger 23,male,43.9,1,0,T10022,7.05,,S,0
24,2,Passenger 24,male,19.4,0,1,T10023,21.08,C53,S,0
25,3,Passenger 25,male,10.1,2,1,T10024,35.77,C63,C,0
26,3,Passenger 26,male,51.0,0,1,T10025,54.51,,S,0
27,1,Passenger 27,female,,0,0,T10026,82.33,,S,1
28,3,Passenger 28,female,26.5,1,0,T10027,72.86,,C,0
