order_id,order_date,amount,product_id
1000,2022-01-04,32.01,18
1001,2022-01-08,127.14,48
1002,2022-01-04,344.82,35
1003,2022-01-03,303.44,3
1004,2022-01-01,64.97,15
1005,2022-01-17,308.97,36
1006,2022-01-07,363.69,45
1007,2022-01-18,221.37,29
1008,2022-01-19,153.53,1
1009,2022-01-25,406.79,45
1010,2022-01-14,183.32,10
1011,2022-01-07,479.46,22
1012,2022-01-04,64.52,7
1013,2022-01-12,426.8,39
1014,2022-01-09,407.42,47
1015,2022-01-15,277.39,25
1016,2022-01-03,284.98,41
1017,2022-01-20,445.02,24
1018,2022-01-19,112.3,5
1019,2022-01-02,337.41,50
1020,2022-01-10,492.91,15
1021,2022-01-28,68.48,18
1022,2022-01-15,325.13,24
1023,2022-01-06,197.69,14
1024,2022-01-22,148.15,44
1025,2022-01-21,54.27,41
1026,2022-01-06,276.39,16
1027,2022-01-06,241.88,18
1028,2022-01-21,350.32,15
1029,2022-01-22,175.66,50
1030,2022-01-25,46.85,3
1031,2022-01-26,171.42,18
1032,2022-01-03,121.27,37
1033,2022-01-23,171.05,42
1034,2022-01-16,209.9,42
1035,2022-01-15,88.58,9
1036,2022-01-08,377.59,35
1037,2022-01-09,378.57,28
1038,2022-01-19,211.71,15
1039,2022-01-05,264.57,6
1040,2022-01-25,42.62,8
1041,2022-01-05,321.17,44
1042,2022-01-14,306.28,25
1043,2022-01-13,306.03,30
1044,2022-01-17,140.68,36
1045,2022-01-28,472.37,44
1046,2022-01-24,74.98,35
1047,2022-01-25,148.08,42
1048,2022-01-11,73.55,28
1049,2022-01-06,237.79,47
1050,2022-01-24,146.43,33
1051,2022-01-25,105.75,7
1052,2022-01-28,320.14,41
1053,2022-01-17,312.31,10
1054,2022-01-12,386.01,35
1055,2022-01-25,462.77,1
1056,2022-01-20,175.59,2
1057,2022-01-04,465.97,20
1058,2022-01-08,47.8,37
1059,2022-01-03,61.11,32
1060,2022-01-27,53.22,49
1061,2022-01-18,387.6,9
1062,2022-01-22,248.14,36
1063,2022-01-06,147.23,39
1064,2022-01-14,482.89,35
1065,2022-01-25,370.37,13
1066,2022-01-23,169.62,43
1067,2022-01-21,199.24,34
1068,2022-01-15,78.08,15
1069,2022-01-03,182.28,38
1070,2022-01-18,130.46,15
1071,2022-01-01,54.08,41
1072,2022-01-02,129.89,3
1073,2022-01-28,178.61,33
1074,2022-01-08,153.67,32
1075,2022-01-07,278.83,47
1076,2022-01-19,296.58,16
1077,2022-01-26,247.03,27
1078,2022-01-07,65.28,43
1079,2022-01-14,190.06,27
1080,2022-02-28,369.96,44
1081,2022-02-21,492.4,7
1082,2022-02-02,213.26,22
1083,2022-02-26,433.6,16
1084,2022-02-07,111.3,29
1085,2022-02-05,222.5,18
1086,2022-02-15,139.91,5
1087,2022-02-15,407.85,36
1088,2022-02-04,44.28,35
1089,2022-02-27,27.08,6
1090,2022-02-25,427.37,11
1091,2022-02-14,253.11,14
1092,2022-02-28,212.5,4
1093,2022-02-06,201.91,25
1094,2022-02-09,464.73,30
1095,2022-02-10,223.04,47
1096,2022-02-26,286.77,46
1097,2022-02-16,94.3,19
1098,2022-02-07,484.98,38
1099,2022-02-24,280.25,48
1100,2022-02-11,47.44,38
1101,2022-02-16,261.37,34
1102,2022-02-06,47.3,33
1103,2022-02-03,428.64,5
1104,2022-02-20,52.62,16
1105,2022-02-13,77.55,37
1106,2022-02-08,297.88,3
1107,2022-02-20,59.35,43
1108,2022-02-19,291.31,21
1109,2022-02-09,118.04,46
1110,2022-02-11,134.57,26
1111,2022-02-05,342.41,20
1112,2022-02-15,171.77,49
1113,2022-02-03,24.47,40
1114,2022-02-19,498.13,5
1115,2022-02-18,122.31,17
1116,2022-02-05,467.96,5
1117,2022-02-08,197.37,11
1118,2022-02-15,420.2,46
1119,2022-02-10,313.61,42
1120,2022-02-17,23.76,36
1121,2022-02-10,467.24,7
1122,2022-02-05,146.94,7
1123,2022-02-24,285.55,18
1124,2022-02-10,310.32,46
1125,2022-02-11,117.73,41
1126,2022-02-28,146.71,32
1127,2022-02-09,454.56,4
1128,2022-02-03,324.46,18
1129,2022-02-02,21.7,50
1130,2022-02-05,325.81,17
1131,2022-02-06,375.79,36
1132,2022-02-23,225.29,1
1133,2022-02-04,56.12,45
1134,2022-02-05,281.88,24
1135,2022-02-19,285.21,28
1136,2022-02-05,40.08,24
1137,2022-02-26,486.65,3
1138,2022-02-12,120.84,16
1139,2022-02-22,69.34,50
1140,2022-02-18,444.38,27
1141,2022-02-20,379.75,16
1142,2022-02-28,98.0,12
1143,2022-02-14,31.9,48
1144,2022-02-11,395.55,27
1145,2022-02-26,341.56,48
1146,2022-02-26,139.12,11
1147,2022-02-26,356.61,25
1148,2022-02-28,38.59,31
1149,2022-03-07,411.96,30
1150,2022-03-12,166.49,15
1151,2022-03-08,31.36,13
1152,2022-03-13,177.57,5
1153,2022-03-25,153.98,42
1154,2022-03-17,211.85,35
1155,2022-03-11,470.83,8
1156,2022-03-09,105.71,17
1157,2022-03-02,72.03,28
1158,2022-03-12,369.7,21
1159,2022-03-14,310.98,33
1160,2022-03-04,204.89,37
1161,2022-03-07,142.27,46
1162,2022-03-14,20.81,35
1163,2022-03-22,365.33,48
1164,2022-03-24,341.9,24
1165,2022-03-14,53.59,43
1166,2022-03-11,319.11,43
1167,2022-03-28,79.82,20
1168,2022-03-17,168.46,27
1169,2022-03-11,213.15,19
1170,2022-03-18,81.1,27
1171,2022-03-22,471.37,44
1172,2022-03-24,453.35,40
1173,2022-03-19,164.46,36
1174,2022-03-27,20.19,19
1175,2022-03-07,226.35,38
1176,2022-03-20,334.26,30
1177,2022-03-15,232.24,14
1178,2022-03-17,247.13,48
1179,2022-03-06,336.25,19
1180,2022-03-17,338.65,40
1181,2022-03-11,64.83,49
1182,2022-03-08,342.94,15
1183,2022-03-26,115.58,2
1184,2022-03-02,137.52,31
1185,2022-03-20,427.87,5
1186,2022-03-15,218.93,41
1187,2022-03-19,113.33,45
1188,2022-03-13,257.3,16
1189,2022-03-05,334.91,1
1190,2022-03-25,433.01,7
1191,2022-03-25,224.07,12
