year,month,monthly_revenue,order_volume
2022,1,18368.33,80
2022,2,16556.84,69
2022,3,12882.13,54
2022,4,18296.98,71
2022,5,15075.18,55
2022,6,16354.03,57
2022,7,11261.38,44
2022,8,17219.72,65
2022,9,19840.62,75
2022,10,18244.37,70
2022,11,20312.65,79
2022,12,12760.83,54
2023,1,17327.36,60
2023,2,14527.05,58
2023,3,14608.22,55
2023,4,20119.48,75
2023,5,17056.79,63
2023,6,18978.52,71
2023,7,14731.1,59
2023,8,19149.21,73
2023,9,13587.47,47
2023,10,18889.42,75
2023,11,11477.98,46
2023,12,20101.21,73
2024,1,11084.19,40
2024,2,9725.99,42
2024,3,20754.75,77
2024,4,11844.79,42
2024,5,13401.86,58
2024,6,19837.59,76
2024,7,9383.1,40
2024,8,15558.31,60
2024,9,13047.92,59
2024,10,16016.93,62
2024,11,18668.17,72
2024,12,16087.25,59
